City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Palmer,US,2022-01-31 05:33:59,42.1584,-72.3287,11.57,70,100,1.01
59,Vaini,TO,2022-01-31 05:29:17,-21.2,-175.2,81.45,70,100,15.82
60,Magdeburg,DE,2022-01-31 05:35:44,52.1667,11.6667,39.22,78,100,10.0
61,Beruwala,LK,2022-01-31 05:35:45,6.4788,79.9828,84.16,70,42,6.85
62,Thanjavur,IN,2022-01-31 05:35:45,10.8,79.15,82.96,66,88,5.48
63,Carnarvon,AU,2022-01-31 05:33:39,-24.8667,113.6333,91.47,46,19,23.02
64,Namibe,AO,2022-01-31 05:33:45,-15.1961,12.1522,70.66,74,94,1.95
65,Makuyuni,TZ,2022-01-31 05:35:45,-4.7333,38.1,73.27,91,99,3.22
66,Saint George,US,2022-01-31 05:31:12,37.1041,-113.5841,43.79,34,0,1.99
67,Cherskiy,RU,2022-01-31 05:33:38,68.75,161.3,-27.94,100,75,2.48
68,Iqaluit,CA,2022-01-31 05:35:46,63.7506,-68.5145,-25.31,67,20,11.01
69,Khatanga,RU,2022-01-31 05:30:44,71.9667,102.5,-6.25,99,98,7.23
70,Qaanaaq,GL,2022-01-31 05:29:18,77.484,-69.3632,-7.46,93,100,4.41
71,Lavrentiya,RU,2022-01-31 05:35:47,65.5833,-171.0,-9.6,92,13,4.16
72,San,ML,2022-01-31 05:35:47,13.3034,-4.8956,69.04,14,5,9.15
73,Tutoia,BR,2022-01-31 05:35:47,-2.7619,-42.2744,76.91,87,62,7.43
74,Cascioarele,RO,2022-01-31 05:35:48,44.1261,26.4697,36.52,74,54,11.7
75,Touros,BR,2022-01-31 05:33:26,-5.1989,-35.4608,79.7,81,16,12.06
76,Bambous Virieux,MU,2022-01-31 05:35:48,-20.3428,57.7575,86.22,79,75,11.5
77,Fort Nelson,CA,2022-01-31 05:35:48,58.8053,-122.7002,-4.41,77,100,8.05
78,Abu Samrah,SY,2022-01-31 05:35:49,35.3029,37.1841,44.33,64,100,3.33
79,Avarua,CK,2022-01-31 05:32:06,-21.2078,-159.775,77.05,88,20,8.05
80,Kapaa,US,2022-01-31 05:35:49,22.0752,-159.319,71.92,65,20,5.75
81,Dingle,PH,2022-01-31 05:34:17,10.9995,122.6711,84.67,69,49,9.51
82,Bousso,TD,2022-01-31 05:35:50,10.4795,16.7117,61.5,21,53,7.25
83,Upernavik,GL,2022-01-31 05:33:42,72.7868,-56.1549,-12.84,94,100,5.77
84,Bluff,NZ,2022-01-31 05:35:50,-46.6,168.3333,62.31,86,97,3.71
85,Abu Dhabi,AE,2022-01-31 05:35:50,24.4667,54.3667,67.96,80,0,2.3
86,Ahuimanu,US,2022-01-31 05:35:51,21.4447,-157.8378,74.91,74,0,1.01
87,Hilo,US,2022-01-31 05:35:51,19.7297,-155.09,70.79,84,0,0.0
88,Los Llanos De Aridane,ES,2022-01-31 05:33:47,28.6585,-17.9182,56.95,67,0,9.22
89,Tezu,IN,2022-01-31 05:33:50,27.9167,96.1667,70.18,30,4,4.54
90,Chumphon,TH,2022-01-31 05:35:51,10.3333,98.8333,86.11,35,4,4.41
91,Provideniya,RU,2022-01-31 05:33:43,64.3833,-173.3,6.64,79,81,14.0
92,Paamiut,GL,2022-01-31 05:35:52,61.994,-49.6678,30.16,80,100,19.44
93,Manta,EC,2022-01-31 05:36:52,-0.95,-80.7333,74.98,88,75,2.3
94,Cidreira,BR,2022-01-31 05:36:53,-30.1811,-50.2056,71.42,75,0,15.99
95,Chokurdakh,RU,2022-01-31 05:36:53,70.6333,147.9167,-23.51,97,63,2.46
96,Karratha,AU,2022-01-31 05:36:53,-20.7377,116.8463,93.02,50,76,22.7
97,Verkhnevilyuysk,RU,2022-01-31 05:36:54,63.4453,120.3167,-11.58,96,60,4.0
98,Miri,MY,2022-01-31 05:36:54,4.4148,114.0089,86.14,70,40,5.75
99,Waingapu,ID,2022-01-31 05:33:57,-9.6567,120.2641,86.85,61,98,17.76
100,Sembe,CG,2022-01-31 05:36:55,1.6481,14.5806,66.02,38,100,2.59
101,Vanavara,RU,2022-01-31 05:36:55,60.34,102.2797,-0.76,88,99,3.24
102,Yuncheng,CN,2022-01-31 05:36:55,35.0231,110.9928,37.74,24,0,11.3
103,Clyde River,CA,2022-01-31 05:36:56,70.4692,-68.5914,-28.97,75,0,3.44
104,Eydhafushi,MV,2022-01-31 05:36:56,5.1033,73.0708,82.81,74,29,14.07
105,Jamestown,US,2022-01-31 05:32:00,42.097,-79.2353,10.71,100,0,4.61
106,Bengkulu,ID,2022-01-31 05:36:57,-3.8004,102.2655,85.39,64,90,6.91
107,Puerto Ayora,EC,2022-01-31 05:36:57,-0.7393,-90.3518,72.75,85,100,5.48
108,Cervo,ES,2022-01-31 05:36:58,43.6702,-7.4101,45.19,84,100,9.73
109,Victoria,HK,2022-01-31 05:34:31,22.2855,114.1577,61.18,72,97,1.99
110,Takapau,NZ,2022-01-31 05:36:58,-40.0333,176.35,77.18,59,17,8.81
111,Fortuna,US,2022-01-31 05:36:59,40.5982,-124.1573,51.66,93,100,6.91
112,Chastyye,RU,2022-01-31 05:36:59,57.2888,54.9728,16.56,95,96,2.98
113,Poum,NC,2022-01-31 05:37:00,-20.2333,164.0167,80.6,74,78,13.53
114,Lasem,ID,2022-01-31 05:37:00,-6.6922,111.4527,83.86,76,96,10.18
115,Assiniboia,CA,2022-01-31 05:37:00,49.6334,-105.9845,31.91,80,100,5.75
116,Azangaro,PE,2022-01-31 05:37:01,-14.9167,-70.2167,45.01,85,88,3.6
117,Shache,CN,2022-01-31 05:37:01,38.4167,77.2406,34.02,30,100,3.91
118,Markova,UA,2022-01-31 05:37:01,48.6758,24.4138,33.39,80,97,15.3
119,Liuli,TZ,2022-01-31 05:37:02,-11.0833,34.6333,77.81,71,90,1.19
120,Kaitangata,NZ,2022-01-31 05:37:02,-46.2817,169.8464,63.91,77,84,4.05
121,Norman Wells,CA,2022-01-31 05:32:20,65.282,-126.8329,-20.16,69,75,0.0
122,Hurricane,US,2022-01-31 05:37:02,37.1753,-113.2899,41.86,33,0,5.14
123,Broken Hill,AU,2022-01-31 05:37:03,-31.95,141.4333,82.11,65,75,14.97
124,Yerbogachen,RU,2022-01-31 05:37:03,61.2767,108.0108,-5.49,95,97,5.48
125,Hanyang,CN,2022-01-31 05:37:03,32.1371,105.5126,44.51,52,100,4.88
126,Sur,OM,2022-01-31 05:37:04,22.5667,59.5289,76.33,50,0,2.46
127,Pevek,RU,2022-01-31 05:37:04,69.7008,170.3133,-20.06,100,94,2.98
128,Jiuquan,CN,2022-01-31 05:37:04,39.7432,98.5174,23.65,24,100,4.72
129,Noumea,NC,2022-01-31 05:37:05,-22.2763,166.4572,82.38,77,80,5.41
130,Santa Lucia,ES,2022-01-31 05:37:05,27.9117,-15.5407,52.92,72,0,8.05
131,Patan,NP,2022-01-31 05:37:05,27.6667,85.3333,57.58,47,20,2.3
132,San Patricio,US,2022-01-31 05:37:06,28.017,-97.5169,64.83,83,100,11.77
133,Altay,CN,2022-01-31 05:37:06,47.8667,88.1167,12.79,65,68,0.6
134,Tura,IN,2022-01-31 05:38:07,25.5198,90.2201,69.1,35,2,4.7
135,Guerrero Negro,MX,2022-01-31 05:38:07,27.9769,-114.0611,59.49,70,71,9.37
136,Sitka,US,2022-01-31 05:33:09,57.0531,-135.33,33.69,86,0,0.0
137,Aksu,CN,2022-01-31 05:38:07,41.1231,80.2644,32.52,35,20,2.57
138,Port Alfred,ZA,2022-01-31 05:38:08,-33.5906,26.891,76.19,79,100,12.44
139,Cedar City,US,2022-01-31 05:38:08,37.6775,-113.0619,31.17,37,0,3.44
