City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
487,Maturin,VE,79.25,few clouds,9.75,-63.1767,Hotel Residencial La Pichincha
497,Alta Floresta,BR,74.34,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
499,Gunjur,GM,72.82,clear sky,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
517,Lucea,JM,78.85,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
526,Inhambane,MZ,77.11,clear sky,-23.865,35.3833,Oceano
527,Banda Aceh,ID,78.1,broken clouds,5.5577,95.3222,Sulthan Hotel International
532,Kismayo,SO,78.28,overcast clouds,-0.3582,42.5454,Agan-Hotel
533,Sisophon,KH,74.57,broken clouds,13.5859,102.9737,Pyramid Hotel
534,Upington,ZA,76.8,clear sky,-28.4478,21.2561,River Place Manor
536,Djibo,BF,70.65,clear sky,14.1022,-1.6306,Centre Des Ressources DPENA
540,Loiza,PR,77.86,thunderstorm,18.4313,-65.8802,Malibu Beachfront
541,Oussouye,SN,72.12,clear sky,12.485,-16.5469,Auberge du Routard
542,Mlonggo,ID,76.68,overcast clouds,-6.5333,110.7,Asia Metal Art
550,Richards Bay,ZA,78.55,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
552,Araceli,PH,79.72,scattered clouds,10.5529,119.9913,JBryan Traveler's Inn
556,Mayumba,GA,76.17,overcast clouds,-3.432,10.6554,LIKWALE LODGE
558,Nabire,ID,75.34,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
565,Cap-Haitien,HT,75.79,broken clouds,19.7578,-72.2042,Habitation Jouissant
569,Carauari,BR,76.3,overcast clouds,-4.8828,-66.8958,Hotel Fellip
572,Santa Maria,BR,72.27,overcast clouds,-29.6842,-53.8069,Hotel Morotin
576,Manoel Urbano,BR,77.2,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
582,Liwale,TZ,70.05,light rain,-9.7667,37.9333,Samoma lodge
585,Kibala,TD,75.65,broken clouds,9.1104,18.3463,hotel safari
587,Casimiro De Abreu,BR,76.78,moderate rain,-22.4806,-42.2042,MIRANTE DO POETA Hotel Fazenda
588,Waingapu,ID,79.3,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
598,Viedma,AR,77.99,clear sky,-40.8135,-62.9967,Hotel Cristal
600,Espana,PH,77.92,overcast clouds,12.3841,122.499,The Boathouse | Sibuyan Island
601,Cururupu,BR,76.15,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
607,Bubaque,GW,77.58,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
610,Chuy,UY,74.55,heavy intensity rain,-33.6971,-53.4616,Nuevo Hotel Plaza
611,Barra Do Garcas,BR,73.98,thunderstorm,-15.89,-52.2567,Pousada Tropical
612,Axim,GH,79.41,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
617,Ambovombe,MG,74.44,few clouds,-25.1667,46.0833,RELAHARA
618,Crestview,US,71.51,overcast clouds,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
623,Gizo,SB,79.39,light rain,-8.103,156.8419,Imagination Island
624,Goiatuba,BR,71.53,overcast clouds,-18.0125,-49.3547,Hotel Barrocos
634,Ariquemes,BR,74.32,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
637,Aloleng,PH,78.1,few clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
640,Leon,MX,77.83,few clouds,21.1167,-101.6667,ENTERPRISE INN POLIFORUM
653,Amarante Do Maranhao,BR,74.25,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
